草树知春不久归|百般红紫斗芳菲
杨花榆荚无才思|惟解漫天作雪飞
荆溪白石出|天寒红叶稀
山路元无雨|空翠湿人衣
绿蚁新醅酒|红泥小火炉
晚来天欲雪|能饮一杯无
黄梅时节家家雨|青草池塘处处蛙
有约不来过夜半|闲敲棋子落灯花
何人不爱牡丹花|占断城中好物华
疑是洛川神女作|千娇万态破朝霞
浮香绕曲岩|圆影覆华池
常恐秋风早|飘零君不知
凛凛冰霜节|修修玉雪身
便无文与可|自有月传神
白日不到处|青春恰自来
苔花如米小|也学牡丹开
谁道群生性命微|一般骨肉一般皮
劝君莫打枝头鸟|子在巢中望母归
春日在天涯|天涯日又斜
莺啼如有泪|为湿最高花
慈乌失其母|哑哑吐哀音
昼夜不飞去|经年守故林
夜夜夜半啼|闻者为沾襟
声中如告诉|未尽反哺心
独舞依磐石|群飞动轻浪
奋迅碧沙前|长怀白云上
冻笔新诗懒写|寒炉美酒时温
醉看墨花月白|恍疑雪满前村
夜莺啼绿柳|皓月醒长空
最爱垄头麦|迎风笔落红
花雪随风不厌看|更多还肯失林峦
愁人正在书窗下|一片飞来一片寒
弄石临溪坐|寻花绕寺行
时时闻鸟语|处处是泉声
江南忆|最忆是杭州
山寺月中寻桂子|郡亭枕上看潮头。何日更重游？
派出昆仑五色流|一支黄浊贯中州
吹沙走浪几千里|转侧屋闾无处求
早起见日出|暮见栖鸟还
客心自酸楚|况对木瓜山
